Reference
Adebambo et al (2020) Frontiers in Genetics
Ahlers et al (2019) Cell Reports
Akcay (2017) Thesis
Akhund-Zade et al (2017) Journal of Insect Science
Appel et al (2016) Biology Letters
"Arbuthnott, Levin and Promislow (2016) Journal of Evolutionary Biology"
Arya et al (2015) Chemical Senses
Bailey and Hoskins (2014) Evolution
Battlay et al (2016) G3
Battlay et al (2018) G3
Bou Sleiman et al (2015) Nature Communications
"Brown et al (2013) Genes, Brain and Behaviour"
Campwell et al (2019) G3
Carbone et al (2017) PNAS
Champer et al (2019) Genetics
Chapman et al (2020) Genes
Chohan (2012) PhD thesis
"Chow, Wolfner and Clark (2013) Genetics"
"Chow, Wolfner and Clark (2013) PNAS"
Chowdhury et al Nature Communications Biology
Dean et al (2020) Evolution
Dembeck et al (2015) eLife
Dembeck et al (2015) PLOS Genetics
Denecke et al (2017) Scientific Reports
Dobson et al (2015) Nature Communications
Duneau et al (2018) G3
Durham et al (2014) Nature Communications
Duun Rohde et al (2016) International Journal of Genomics
Early et al (2017) PLOS One
Ellis et al (2014) PLOS Genetics
Evangelou et al (2019) G3
Everett et al (2020) Genome Research
Everman and Morgan (2017) Evolution
Everman et al (2019) Genetics
Francis et al (2021) G3
Freda et al (2017) Integrative and Comparative Biology
Freda et al (2019) Heredity
Gaertner et al (2015) G3
Garlapow et al (2015) PLOS One
Gerken et al (2015) PNAS
"Gerken, Eller and Morgan (2014) PhD thesis"
Green et al (2019) PNAS
Grubbs et al (2013) PLOS One
Harbison et al (2018) Behavior Genetics
"Harbison, McCoy and Mackay (2013) BMC Genomics"
Harrison et al (2020) BMC Genomics
"He et al (2016) Genes, Brain and Behaviour"
Highfill et al (2019) PLOS Genetics
Hope et al (2019) Frontiers in Genetics
Horvath and Kalinka (2018) Evolution
"Horvath, Betancourt and Kalinka (2016) BMC Evolutionary Biology"
Hotson and Schneider (2015) G3
Houston (2019) Thesis
Howick and Lazzaro (2017) Molecular Ecology
Huang et al (2014) Genome Research & Ellis et al (2014) PLOS Genetics
Huang et al (2020) PLOS Biology
Hunter et al (2016) PLOS Genetics
Ivanov et al (2015) The Journals of Gerontology: Series A
Jehrke et al (2018) Scientific Reports
Jin et al (2020) PLOS Genetics
Jordan et al (2012) PLOS One
Jumbo-Lucioni et al (2012) BMC Genomics
Katzenberger et al (2015) eLife
"Lafuente, Duneau and Beldade (2018) PLOS Genetics"
Lecheta et al (2020) Frontiers in Genetics
Lee et al (2017) Genome Biology and Evolution
Lobell et al (2017) G3
Lovejoy et al (2021) Molecular Ecology
Ma et al (2019) iScience
Mackay et al (2012) Nature
Maesani et al (2015) PLOS Computational Biology
Magwire et al (2011) PLOS Genetics
Magwire et al (2012) PLOS Genetics
Mendez et al (2016) PLOS One
Mitchell et al (2017) PLOS One
Montgomery et al (2014) PLOS One
Morgante et al (2015) Scientific Reports
Morozova (2018) G3
Morozova el al. (2015) BMC Genomics
Muñoz-Muñoz et al (2016) Evolution
Najarro et al (2015) PLOS Genetics
"Najarro, Hackett and Macdonald (2017) G3"
Nelson et al (2016) BMC Genomics
Okada et al (2016) Nature Communications & Okada et al (2019) Molecular Systems Biology
Orsted et al (2018) Evolution
Palmer et al (2018) PLOS Pathogens
Park et al (2014) Genetics
Patel and Talbert (2021) Heliyon
Pitchers et al (2019) Evolution
Rajpurohit et al (2018) Molecular Ecology
Remnant et al (2014) Insect Biochemistry and Molecular Biology
Richardson (2012) PLOS Genetics
Riddle (2020) Journal of Experimental Biology
Rohde et al (2017) Genetics
Rohde et al (2018) G3
Rohde et al (2019) Genetics
Rolandi et al (2018) Ecology and Evolution
Schmidt et al (2017) Genetics
Sharma et al (2020) Scientific reports
Shorter et al (2015) PNAS
Spierer et al (2021) PLOS Genetics
Swarup et al (2013) PNAS
Takahara and Takahashi (2015) PLOS One
Teets and Hahn (2018) Journal of Evolutionary Biology
Toshima et al (2014) Journal of Insect Physiology
"Turner, Miller and Cochrane (2013) Molecular Biology and Evolution"
Uchizono and Tamimura (2017) Chemical Senses
"Unckless, Rottschaefer and Lazzaro (2015) G3"
"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Vaisnav et al (2014) PLOS One
Vonesch et al (2016) PLOS Genetics
"Wang, Lu and St. Leger (2017) PLOS Pathogens"
Watanabe and Riddle (2021) Royal Society Open Science
Watanabe and Riddle (2021) Scientific Reports
Watanabe et al (2020) G3
Weber et al (2012) PLOS One
Wilson et al (2020) Current Biology
Wong and Holman (in prep)
Wu et al (2018) SLEEPJ
Zhang et al (2021) Current Biology
"Zhang, Reeves and Tautz (2020) Molecular Ecology"
Zhou et al (2016) Environmental Health Perspectives
Zhou et al (2019) Genome Research
Zhou et al (2020) Genome Research
Zwarts et al (2015) Nature Communications
Zwoinska et al (2020) Frontiers in Genetics
